# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	31513
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=62 d=1.01193 t=30983
ge zi 	各自	c=1 d=1 t=30803
ge zi 	格子	c=2 d=1 t=17764
ge zi 	鴿子	c=2 d=1 t=17763
gei 	給	c=63 d=1.34567 t=29279
gei chu 	給出	c=1 d=1 t=31123
gei de 	給的	c=6 d=1.0007 t=31321
gei le 	給了	c=2 d=1 t=23177
gei le ge 	給了個	c=1 d=1 t=8288
gei ni 	給你	c=22 d=1.42458 t=28365
gei si ji 	給司機	c=1 d=1 t=3522
gei ta 	給他	c=5 d=0.100018 t=26029
gei ta le 	給他了	c=1 d=1 t=26030
gei ta men 	給他們	c=1 d=1 t=29227
gei wo 	給我	c=36 d=1.01873 t=29983
gei wo de 	給我的	c=1 d=1 t=12120
gei yi ge 	給一個	c=1 d=1 t=2505
gei yong hu 	給用戶	c=1 d=1 t=9715
gen 	跟	c=1 d=0.1 t=30888
gen ben 	根本	c=2 d=1 t=23399
gen ju 	根據	c=29 d=1.20921 t=30488
gen sui 	跟隨	c=1 d=1 t=14157
gen zhe 	跟着	c=5 d=1.98582 t=27646
gen zhe ge 	跟這個	c=1 d=1 t=30889
geng 	更	c=6 d=1 t=20054
geng can 	更慘	c=1 d=1 t=22928
geng duan 	更短	c=1 d=1 t=1256
geng duo de 	更多的	c=1 d=1 t=18744
geng gai 	更改	c=1 d=1 t=12379
geng gao 	更高	c=1 d=1 t=1245
geng hai 	更嗨	c=1 d=1 t=28385
geng hao 	更好	c=0 d=0.1 t=27740
geng hao yong 	更好用	c=1 d=1 t=27741
geng jia 	更加	c=1 d=1 t=4346
geng kuai 	更快	c=0 d=0.1 t=1330
geng xin 	更新	c=45 d=1.98613 t=30507
gong 	共	c=1 d=1 t=6184
gong chang 	工廠	c=13 d=1.99518 t=30053
gong cheng shi 	工程師	c=0 d=0.1 t=10707
gong hao 	工號	c=1 d=1 t=2012
gong ju 	工具	c=24 d=1.10354 t=29199
gong neng 	功能	c=18 d=1.23238 t=27744
gong neng shang 	功能上	c=1 d=1 t=31247
gong nuan 	供暖	c=1 d=1 t=22802
gong shi 	共識	c=2 d=1.00423 t=24609
gong si 	公司	c=22 d=1 t=31175
gong tong 	共同	c=2 d=1 t=18205
gong wang 	公網	c=1 d=1 t=31293
gong xi 	恭喜	c=1 d=1 t=28971
gong xian 	貢獻	c=1 d=1 t=28106
gong xiang 	共享	c=1 d=1 t=21220
gong xing 	共性	c=1 d=1 t=1762
gong ying lian 	供應鏈	c=10 d=2.98506 t=30327
gong ying shang 	供應商	c=4 d=1.00001 t=11264
gong yong 	共用	c=1 d=1 t=2031
gong zuo 	工作	c=29 d=1.41934 t=30800
gong zuo jing yan 	工作經驗	c=1 d=1 t=1707
gong zuo liang 	工作量	c=2 d=1.00815 t=30784
gong zuo ri 	工作日	c=1 d=1 t=28939
gong zuo xing shi 	工作形式	c=1 d=1 t=2122
gong zuo zhong 	工作中	c=1 d=1 t=1860
gou 	狗	c=16 d=1.00026 t=30996
gou 	購	c=1 d=1 t=9451
gou bu gou 	夠不夠	c=2 d=1 t=13698
gou gou 	狗狗	c=3 d=1.00278 t=7573
gou hui 	狗會	c=1 d=1 t=3321
gou jian 	構建	c=36 d=1.0728 t=31152
gou mai 	購買	c=1 d=1 t=13748
gou tong 	溝通	c=14 d=1 t=27604
gou tong le 	溝通了	c=1 d=1 t=15120
gou xiao shou 	狗銷售	c=1 d=1 t=7466
gou zai 	狗仔	c=5 d=1 t=29521
gu ding 	固定	c=6 d=1 t=26173
gu ge 	谷歌	c=2 d=1 t=18898
gu gong 	故宮	c=1 d=1 t=27690
gu hua 	固化	c=1 d=1 t=27854
gu ji 	估計	c=7 d=1.00001 t=26905
gu li 	鼓勵	c=0 d=0.1 t=9858
gu tou 	骨頭	c=0 d=0.1 t=27460
gu yi 	故意	c=1 d=1 t=25860
gu zhang 	故障	c=16 d=1.00483 t=30963
gua 	掛	c=2 d=1 t=13167
gua diao 	掛掉	c=1 d=1 t=31364
gua diao le 	掛掉了	c=1 d=1 t=22576
gua ge 	掛個	c=0 d=0.1 t=24943
gua ge hao 	掛個號	c=1 d=1 t=24944
gua le 	掛了	c=3 d=1 t=21308
guai 	乖	c=4 d=1.99501 t=27478
guai bao bao 	乖寶寶	c=1 d=1 t=27479
guai wu 	怪物	c=1 d=1 t=9851
guan 	管	c=3 d=1.00848 t=14239
guan 	關	c=1 d=1 t=14168
guan bi 	關閉	c=2 d=1.10699 t=30533
guan cha 	觀察	c=2 d=1 t=17923
guan cha zhe 	觀察者	c=2 d=1 t=31416
guan deng 	關燈	c=0 d=0.1 t=24538
guan dian 	觀點	c=1 d=1 t=18734
guan diao 	關掉	c=4 d=1 t=27620
guan ju 	管局	c=1 d=1 t=11359
guan ke 	關可	c=1 d=1 t=3552
guan le 	關了	c=4 d=1.91393 t=25704
guan li 	管理	c=67 d=1.00045 t=30888
guan li yuan 	管理員	c=1 d=1 t=5848
guan lian 	關聯	c=6 d=1.09547 t=26352
guan tou 	罐頭	c=1 d=1 t=24917
guan wang 	官網	c=4 d=1.00008 t=11310
guan xi 	關係	c=15 d=1 t=31037
guan xi biao 	關係表	c=1 d=1 t=10860
guan xin 	關心	c=4 d=1 t=26154
guan yu 	關於	c=2 d=1 t=24606
guan zhu 	關注	c=6 d=0.1 t=27618
guang 	光	c=1 d=1 t=20685
guang biao 	光標	c=1 d=1 t=27060
gui bi 	規避	c=1 d=1 t=27030
gui ding 	規定	c=2 d=1 t=21366
gui fan 	規範	c=30 d=2.97032 t=30549
gui fan hua 	規範化	c=1 d=1 t=26084
gui ge 	規格	c=10 d=1.956 t=20994
gui hua 	規劃	c=0 d=0.1 t=28776
gui hua le 	規劃了	c=1 d=1 t=28777
gui shu 	歸屬	c=1 d=1 t=11780
gui ze 	規則	c=4 d=1 t=13894
gun dao 	滾到	c=1 d=1 t=8723
gun hui 	滾回	c=1 d=1 t=8715
guo 	過	c=27 d=1.63767 t=31486
guo bu liao 	過不了	c=1 d=1 t=2317
guo cheng 	過程	c=10 d=1.00023 t=27593
guo cheng zhong 	過程中	c=2 d=1 t=27010
guo de 	過得	c=2 d=1 t=23128
guo du 	過渡	c=1 d=1 t=11347
guo fen 	過分	c=1 d=1 t=12877
guo lai 	過來	c=8 d=1 t=24492
guo le 	過了	c=2 d=0.1 t=27767
guo le nian 	過了年	c=2 d=1.97531 t=27773
guo lv 	過濾	c=7 d=1.15932 t=16182
guo lv diao 	過濾掉	c=1 d=1 t=14154
guo lv le 	過濾了	c=1 d=1 t=16174
guo nei 	國內	c=1 d=1 t=9387
guo nian 	過年	c=7 d=1.15109 t=27775
guo qi 	國企	c=1 d=1 t=13882
guo qi 	過期	c=3 d=1.00001 t=16414
guo qu 	過去	c=7 d=1.00007 t=22234
guo qu le 	過去了	c=1 d=1 t=21073
guo shan che 	過山車	c=1 d=1 t=25974
guo shi 	果實	c=0 d=0.1 t=2349
guo shi zai 	果實在	c=3 d=1.99501 t=21314
guo shu 	果蔬	c=0 d=0.1 t=26318
guo shu hao 	果蔬好	c=2 d=1.00008 t=28203
guo wan 	過完	c=3 d=1 t=31489
guo yi ci 	過一次	c=2 d=1.09633 t=4043
guo yi xia 	過一下	c=8 d=1.00119 t=27524
guo yu 	過於	c=1 d=1 t=15241
ha 	哈	c=3 d=1 t=20501
ha di si 	哈迪斯	c=4 d=1 t=16110
ha ha 	哈哈	c=8 d=1 t=24045
ha ha ha 	哈哈哈	c=3 d=1 t=15605
ha ha hang 	哈哈行	c=1 d=1 t=5243
hai 	嗨	c=1 d=1 t=28381
hai 	害	c=1 d=1 t=9440
hai 	還	c=47 d=1.03839 t=30142
hai bi jiao 	還比較	c=1 d=1 t=402
hai bu shi 	還不是	c=3 d=1 t=29145
hai cha 	還差	c=0 d=0.1 t=232
hai cha shen me 	還差什麼	c=1 d=1 t=233
hai dai 	海帶	c=4 d=2.88832 t=8342
hai de 	還得	c=14 d=0.100486 t=28922
hai de kan 	還得看	c=1 d=1 t=28923
hai de shi ni 	還得是你	c=1 d=1 t=20384
hai hao 	還好	c=1 d=1 t=31071
hai hui 	還會	c=1 d=1 t=9547
hai ke yi 	還可以	c=1 d=1 t=9708
hai lai de ji 	還來得及	c=1 d=1 t=25150
hai le 	嗨了	c=1 d=1 t=28379
hai mei 	還沒	c=29 d=1.95121 t=31488
hai mei dong 	還沒動	c=1 d=1 t=6827
hai mei hao 	還沒好	c=1 d=1 t=2144
hai mei he 	還沒和	c=1 d=1 t=24590
hai mei lai 	還沒來	c=2 d=1 t=25398
hai mei qian 	還沒遷	c=2 d=1.79453 t=416
hai mei shuo wan 	還沒說完	c=1 d=1 t=8644
hai mei xia ban 	還沒下班	c=1 d=1 t=31356
hai mei xiang hao 	還沒想好	c=1 d=1 t=19491
hai mei you 	還沒有	c=4 d=1 t=16980
hai na bai chuan 	海納百川	c=1 d=1 t=13520
hai neng 	還能	c=9 d=0.1 t=29494
hai neng yong 	還能用	c=1 d=1 t=29495
hai pa 	害怕	c=4 d=1 t=22967
hai shi 	還是	c=87 d=1.74085 t=31505
hai shi na 	還是哪	c=1 d=1 t=14205
hai shi xiang 	還是想	c=1 d=1 t=27777
hai shuo 	還說	c=1 d=1 t=7564
hai ting 	還挺	c=1 d=1 t=7000
hai xiang 	還想	c=1 d=1 t=1523
hai xing 	害行	c=4 d=1.16122 t=24807
hai xing 	還行	c=6 d=1 t=26869
hai xu yao 	還需要	c=4 d=1 t=29626
hai yong 	還用	c=2 d=1 t=14482
hai you 	還有	c=37 d=1.28518 t=30896
hai you dian 	還有點	c=0 d=0.1 t=1163
hai you dian xiao 	還有點小	c=1 d=1 t=1164
hai you ge 	還有個	c=2 d=1 t=25654
hai you mei you 	還有沒有	c=2 d=1.00013 t=10801
hai you shui 	還有誰	c=1 d=1 t=23376
hai you yong 	還有用	c=1 d=1 t=12462
hai zai 	還在	c=12 d=1 t=30937
hai zai kan 	還在看	c=1 d=1 t=9934
hai zai ma 	還在嗎	c=2 d=1 t=22049
hai zai na 	還在那	c=1 d=1 t=9833
hai zhao 	還招	c=1 d=1 t=5384
hai zhen 	還真	c=1 d=1 t=9702
hai zhen de 	還真的	c=1 d=1 t=2130
hai zi 	孩子	c=1 d=1 t=29269
han 	喊	c=1 d=1 t=6814
han guo 	韓國	c=1 d=1 t=14104
han hua 	漢化	c=1 d=1 t=25270
han shu 	函數	c=7 d=1.00007 t=31507
han shui 	含稅	c=1 d=1 t=21959
han wo 	喊我	c=4 d=1.08804 t=16706
han zi 	漢字	c=1 d=1 t=13106
hang 	行	c=3 d=0.837123 t=29770
hang ban 	航班	c=1 d=1 t=13400
hang kong 	航空	c=1 d=1 t=5939
hang shu 	行數	c=1 d=1 t=11670
hang ye 	行業	c=1 d=1 t=2491
hang zhou 	杭州	c=4 d=1.03526 t=25452
hao 	好	c=106 d=1.6655 t=31281
hao 	毫	c=1 d=1 t=21277
hao 	號	c=30 d=1.00001 t=27383
hao a 	好啊	c=22 d=2.12375 t=30449
hao ba 	好吧	c=1 d=1 t=19469
hao bao bao 	好寶寶	c=1 d=1 t=5919
hao bu hao 	好不好	c=3 d=1.00027 t=7529
hao da 	好噠	c=1 d=1 t=7681
hao de 	好的	c=18 d=1 t=30320
hao dian 	好點	c=1 d=1 t=2516
hao dong xi 	好東西	c=1 d=1 t=9383
hao duo 	好多	c=7 d=1 t=30911
hao ge 	浩哥	c=5 d=1.00392 t=28036
hao hao 	好好	c=1 d=1 t=5697
hao hao 	浩浩	c=0 d=0.1 t=1213
hao hao hao 	好好好	c=1 d=1 t=3360
hao ji bei 	好幾倍	c=1 d=1 t=24511
hao ji ci 	好幾次	c=1 d=1 t=24066
hao ji ge 	好幾個	c=7 d=1 t=30904
hao ji ge ren 	好幾個人	c=1 d=1 t=21873
hao ji xia 	好幾下	c=1 d=1 t=6579
hao ji ye 	好幾頁	c=1 d=1 t=17692
hao jiu le 	好久了	c=2 d=1.00048 t=22896
hao le 	好了	c=33 d=1.00012 t=29437
hao le ma 	好了嗎	c=1 d=1 t=3263
hao mei 	好美	c=1 d=1 t=9931
hao mi 	毫米	c=2 d=1.00032 t=17867
hao shi 	好事	c=1 d=1 t=26048
hao shi 	耗時	c=3 d=1 t=27037
hao wei 	浩偉	c=4 d=1.0488 t=21839
hao wu 	毫無	c=0 d=0.1 t=1520
hao wu bo dong 	毫無波動	c=1 d=1 t=1521
hao xiang 	好像	c=41 d=1.02654 t=31313
hao xiang shi 	好像是	c=2 d=1 t=9226
hao yong 	好用	c=3 d=1 t=29530
he 	何	c=1 d=1 t=8669
he 	合	c=5 d=1.00217 t=28321
he 	和	c=154 d=0.295131 t=31033
he 	喝	c=6 d=1.97531 t=29171
he bei 	河北	c=1 d=1 t=15064
he bing 	合併	c=32 d=1.02468 t=30255
he da yin 	和打印	c=1 d=1 t=31034
he dai ma 	合代碼	c=1 d=1 t=27405
he dao 	合到	c=1 d=1 t=460
he fei 	合肥	c=2 d=1.00024 t=22415
he ge 	合格	c=2 d=1.9802 t=27731
he ji 	合計	c=5 d=1.57783 t=24738
he jia meng 	和佳夢	c=1 d=1 t=22957
he jin qu 	合進去	c=1 d=1 t=21184
he li 	合理	c=5 d=1 t=23651
he li jun 	和立軍	c=1 d=1 t=9739
he li xing 	合理性	c=1 d=1 t=26545
he ma 	盒馬	c=1 d=1 t=14401
he mei he 	喝沒喝	c=1 d=1 t=27474
he na ge 	和那個	c=1 d=1 t=29025
he ni 	和你	c=7 d=1.00006 t=25815
he ni men 	和你們	c=1 d=1 t=28560
he ni shuo 	和你說	c=2 d=1 t=15099
he shang 	合上	c=0 d=0.1 t=1155
he shang qu 	合上去	c=1 d=1 t=1156
he shen 	合身	c=1 d=1 t=26777
he shi 	合適	c=5 d=1 t=31229
he shui 	喝水	c=2 d=1 t=29162
he suan 	核酸	c=3 d=1.00007 t=28938
he suan 	覈算	c=6 d=0.1 t=30805
he ta 	和他	c=1 d=1 t=9051
he ta 	和她	c=3 d=1 t=23055
he ta men 	和他們	c=1 d=1 t=15039
he tong 	合同	c=1 d=1 t=13800
he wan le 	合完了	c=1 d=1 t=27428
he wan le 	和完了	c=1 d=1 t=8668
he wo 	和我	c=3 d=1.09301 t=28336
he wo men 	和我們	c=2 d=1 t=31191
he xi bei feng 	喝西北風	c=1 d=1 t=5246
he xin 	核心	c=2 d=0.1 t=15690
he xin ren yuan 	核心人員	c=1 d=1 t=15691
he zhe tiao 	和這條	c=1 d=1 t=9232
he zi 	盒子	c=1 d=1 t=28207
he zuo 	合作	c=1 d=1 t=1547
he zuo de 	合作的	c=1 d=1 t=14209
hei hei 	嘿嘿	c=3 d=1 t=6166
hei le 	黑了	c=1 d=1 t=8586
hei se 	黑色	c=1 d=1 t=16068
hei wu 	黑五	c=2 d=1.72615 t=9417
hen 	很	c=11 d=0.114564 t=27659
hen bu qing chu 	很不清楚	c=1 d=1 t=27660
hen da 	很大	c=1 d=1 t=1912
hen hao 	很好	c=1 d=1 t=1948
hen kuai 	很快	c=3 d=1 t=25131
hen nan shou 	很難受	c=1 d=1 t=12532
hen qiang 	很強	c=1 d=1 t=1941
hen qing chu 	很清楚	c=1 d=1 t=15225
hen shao 	很少	c=1 d=1 t=4859
hen wei xian 	很危險	c=1 d=1 t=9469
hen wen ding 	很穩定	c=1 d=1 t=1488
hen xiao 	很小	c=3 d=1.90032 t=24349
hen yuan 	很遠	c=1 d=1 t=10078
hen zhong yao 	很重要	c=1 d=1 t=11346
heng 	橫	c=2 d=1.71177 t=14781
heng guo 	橫過	c=0 d=0.1 t=9601
heng guo lai 	橫過來	c=1 d=1 t=9602
heng liang 	衡量	c=2 d=1.89137 t=24261
heng shu 	橫豎	c=2 d=1.00333 t=16544
heng xiang 	橫向	c=36 d=3.76713 t=25746
hong se 	紅色	c=1 d=1 t=10289
hou 	後	c=20 d=1 t=29624
hou de zai wu 	厚德載物	c=1 d=1 t=13518
hou duan 	後端	c=29 d=1.04031 t=29765
hou lai 	後來	c=7 d=1 t=30128
hou mian 	後面	c=20 d=1.79057 t=30251
hou nian ma yue 	猴年馬月	c=2 d=1.99501 t=24522
hou qi 	後期	c=1 d=1 t=894
hou tai 	後臺	c=11 d=1 t=29100
hou tian 	後天	c=1 d=1 t=4721
hou tui 	後腿	c=1 d=1 t=18605
hou xu 	後續	c=1 d=1 t=24397
hou xuan 	候選	c=0 d=0.1 t=29
hou xuan xiang 	候選項	c=2 d=1.99005 t=32
hou xuan xiang 	後選項	c=1 d=1 t=27
hou zhui 	後綴	c=1 d=1 t=8660
hou zi 	猴子	c=0 d=0.1 t=1389
hu bei 	湖北	c=1 d=1 t=31278
hu lu 	葫蘆	c=1 d=1 t=5399
hu luo bo 	胡蘿蔔	c=4 d=2.88266 t=8339
hu lve 	忽略	c=6 d=1 t=30460
hu xi 	呼吸	c=0 d=0.1 t=28552
hu xiang 	互相	c=2 d=1 t=10140
hua 	化	c=6 d=1.00004 t=29995
hua 	畫	c=3 d=1 t=29344
hua 	花	c=3 d=1.90484 t=20415
hua 	話	c=17 d=1 t=31241
hua bu 	畫布	c=2 d=1.9802 t=8800
hua ce 	滑測	c=1 d=1 t=16792
hua de 	畫得	c=1 d=1 t=9598
hua fei 	花費	c=2 d=1.72253 t=25364
hua lai shi 	華萊士	c=2 d=1.99501 t=650
hua li hu shao 	花裏胡哨	c=1 d=1 t=14523
hua shi jian 	花時間	c=1 d=1 t=21447
hua ti 	話題	c=1 d=1 t=24560
hua wei 	華爲	c=1 d=1 t=22686
hua xiang 	畫像	c=1 d=1 t=28799
hua yang 	花樣	c=1 d=1 t=21120
hua yi 	畫一	c=0 d=0.1 t=4014
hua yi ge 	畫一個	c=1 d=1 t=4015
huai shi 	壞事	c=1 d=1 t=26049
huai yi 	懷疑	c=2 d=1.97045 t=19900
huan 	換	c=13 d=1 t=31179
huan cheng 	換成	c=1 d=1 t=26789
huan cun 	緩存	c=8 d=1 t=31357
huan dao 	換到	c=1 d=1 t=4221
huan ge 	換個	c=4 d=1 t=31342
huan ge ren 	換個人	c=1 d=1 t=25841
huan gong zuo 	換工作	c=2 d=1 t=28237
huan jie 	環節	c=5 d=1 t=28333
huan jing 	環境	c=113 d=1.53539 t=30853
huan le 	換了	c=2 d=1 t=26788
huan mei huan 	換沒換	c=1 d=1 t=25389
huan ren 	換人	c=1 d=1 t=25835
huan suan 	換算	c=5 d=1 t=31499
huan tai 	換臺	c=1 d=1 t=20072
huan yi ge 	換一個	c=2 d=1 t=31346
huan yi xia 	換一下	c=1 d=1 t=14580
huan ying 	歡迎	c=2 d=1 t=21356
huan yu ming 	換域名	c=1 d=1 t=21261
huang 	黃	c=3 d=1 t=13692
huang dou 	黃豆	c=1 d=1 t=22784
huang gua 	黃瓜	c=4 d=3.60352 t=8269
huang le 	慌了	c=1 d=1 t=22273
huang pian 	黃片	c=0 d=0.1 t=4612
hui 	回	c=9 d=2.04741 t=26107
hui 	會	c=81 d=2.61853 t=31027
hui ba 	回吧	c=1 d=1 t=12570
hui bao 	會報	c=2 d=1 t=10896
hui bu hui 	會不會	c=6 d=1 t=30908
hui bu qu 	回不去	c=2 d=1.00001 t=28289
hui che 	回車	c=1 d=1 t=17471
hui da 	回答	c=1 d=1 t=8580
hui dao 	回到	c=1 d=1 t=23267
hui dao 	會到	c=1 d=1 t=22289
hui diao 	回調	c=8 d=2.94099 t=30419
hui diao li 	回調裏	c=1 d=1 t=5335
hui diu 	會丟	c=1 d=1 t=6792
hui du 	灰度	c=9 d=5.43542 t=5173
hui er 	會兒	c=2 d=1 t=30968
hui fu 	恢復	c=2 d=1 t=13682
hui gei 	會給	c=1 d=1 t=7887
hui gun 	回滾	c=22 d=1 t=23961
hui hui 	回回	c=0 d=0.1 t=18093
hui hui 	會會	c=1 d=1 t=18095
hui hui hui 	回回會	c=1 d=1 t=18094
hui jia 	回家	c=4 d=1 t=25978
hui jia ba 	回家吧	c=1 d=1 t=16821
hui lai 	回來	c=10 d=1 t=27529
hui lai le 	回來了	c=4 d=1 t=21003
hui le 	回了	c=2 d=1.99501 t=17638
hui le 	會了	c=0 d=0.1 t=27358
hui qu 	回去	c=6 d=0.1 t=30456
hui qu le 	回去了	c=1 d=1 t=3462
hui shi 	回事	c=1 d=1 t=22092
hui shi 	會是	c=2 d=1 t=15313
hui shou 	回收	c=2 d=1 t=31326
hui tui 	回退	c=1 d=1 t=7089
hui yi 	會議	c=13 d=1.00003 t=29858
hui yi ji yao 	會議紀要	c=1 d=1 t=18720
hui yi li 	會議裏	c=1 d=1 t=14139
hui yi shi 	會議室	c=3 d=1.00006 t=26416
hui yi shi ne 	會議室呢	c=1 d=1 t=5242
hui you 	會有	c=7 d=1 t=19011
hui zhong duan 	會中斷	c=1 d=1 t=11175
hui zong 	彙總	c=5 d=1.08571 t=9077
huo 	或	c=9 d=1.00022 t=22850
huo 	活	c=0 d=0.1 t=14503
huo 	貨	c=1 d=0.1 t=16179
huo ban 	夥伴	c=1 d=1 t=5651
huo de 	活的	c=1 d=1 t=28205
huo gan 	活幹	c=1 d=1 t=25090
huo qu 	獲取	c=11 d=1 t=25224
huo tui 	火腿	c=1 d=1 t=25404
huo yue 	活躍	c=0 d=0.1 t=25540
huo yue yong hu 	活躍用戶	c=1 d=1 t=25541
huo zhe 	或者	c=25 d=1 t=30772
ji 	幾	c=1 d=1 t=25366
ji 	機	c=13 d=1 t=31035
ji 	級	c=2 d=1 t=11270
ji 	記	c=2 d=1 t=19665
ji 	集	c=1 d=1 t=334
ji 	雞	c=1 d=1 t=18441
ji ba 	雞吧	c=1 d=1 t=6189
ji ben 	基本	c=12 d=1 t=30132
ji bie 	級別	c=2 d=1 t=22391
ji bu 	幾步	c=1 d=1 t=20200
ji bu ke shi 	機不可失	c=1 d=1 t=9061
ji bu qing 	記不清	c=1 d=1 t=4177
ji chang 	機場	c=3 d=1 t=29461
ji cheng 	集成	c=5 d=1.00001 t=27357
ji chu 	基礎	c=20 d=1.00001 t=30819
ji ci 	幾次	c=2 d=1 t=20508
ji dao 	幾刀	c=0 d=0.1 t=547
ji de 	記得	c=10 d=1.03065 t=25290
ji dian 	幾點	c=4 d=1 t=21745
ji dian lai 	幾點來	c=1 d=1 t=17483
ji fang 	機房	c=12 d=1 t=24111
ji fen zhong 	幾分鐘	c=1 d=1 t=22120
ji ge 	幾個	c=22 d=1.00256 t=30833
ji ge hui 	幾個會	c=1 d=1 t=27956
ji ge ju ti 	幾個具體	c=1 d=1 t=2571
ji ge ren 	幾個人	c=3 d=0.1 t=21872
ji ge xiang mu 	幾個項目	c=1 d=1 t=30094
ji ge yue 	幾個月	c=2 d=1 t=29271
ji hang 	幾行	c=1 d=1 t=6469
ji hao 	幾號	c=1 d=1 t=30704
ji he 	機核	c=1 d=1 t=25605
ji he 	集合	c=1 d=1 t=29545
ji hua 	計劃	c=8 d=2.90795 t=30574
ji hui 	機會	c=1 d=1 t=1798
ji jiang 	即將	c=2 d=1 t=16471
ji ke 	即可	c=2 d=1 t=5004
ji le 	記了	c=1 d=1 t=12081
ji lu 	記錄	c=8 d=0.100058 t=28334
ji miao 	幾秒	c=1 d=1 t=23025
ji nian 	幾年	c=0 d=0.1 t=24778
ji nian ri 	紀念日	c=1 d=1 t=572
ji qi 	機器	c=7 d=1.05502 t=23454
ji qi ren 	機器人	c=2 d=1 t=9081
ji qiao 	技巧	c=1 d=1 t=4403
ji ran 	既然	c=1 d=1 t=23864
ji shi 	及時	c=3 d=1 t=27831
ji shi shi 	即使是	c=1 d=1 t=17487
ji shi wan 	幾十萬	c=1 d=1 t=14986
ji shu 	技術	c=47 d=1.00473 t=31437
ji shu 	計數	c=3 d=1 t=24541
ji shu ceng mian 	技術層面	c=1 d=1 t=20128
ji shu guan li 	技術管理	c=1 d=1 t=18859
ji shu guan li 	計數管理	c=3 d=1 t=20580
ji shu zhai 	技術債	c=1 d=1 t=30827
ji shu zhan 	技術棧	c=3 d=1 t=31190
ji suan 	計算	c=0 d=0.1 t=30048
ji suan fang shi 	計算方式	c=1 d=1 t=30049
ji tian 	幾天	c=4 d=1 t=30024
ji xia 	幾下	c=0 d=0.1 t=6578
ji xia lai 	記下來	c=1 d=1 t=11608
ji xian 	基線	c=1 d=1 t=30960
ji xu 	繼續	c=6 d=1 t=29954
ji yan 	雞眼	c=1 d=1 t=29267
ji ye 	幾頁	c=0 d=0.1 t=17691
ji yi 	記憶	c=2 d=1.99501 t=44
ji yu 	基於	c=2 d=1 t=30679
ji zhe 	記着	c=1 d=1 t=7191
ji zhi 	機制	c=2 d=1 t=18746
ji zhong 	幾種	c=5 d=1.00007 t=30212
ji zhong 	集中	c=1 d=1 t=11722
jia 	假	c=3 d=1 t=27386
jia 	價	c=3 d=1.09511 t=18590
jia 	加	c=39 d=1.00063 t=31495
jia 	家	c=7 d=1.01197 t=30735
jia ba 	加把	c=1 d=1 t=6041
jia ban 	加班	c=4 d=1 t=30745
jia dao 	加到	c=2 d=1 t=23762
jia ge 	價格	c=4 d=1 t=12544
jia ge 	加個	c=19 d=1.06334 t=29627
jia gong 	加工	c=6 d=4.93531 t=9318
jia gou 	架構	c=6 d=1.00002 t=30821
jia le 	加了	c=10 d=1 t=26782
jia le ma 	加了嗎	c=1 d=1 t=13367
jia li 	家裏	c=5 d=1 t=30371
jia meng 	佳夢	c=7 d=0.177692 t=30377
jia ren 	家人	c=0 d=0.1 t=9420
jia ren men 	家人們	c=1 d=1 t=9421
jia ri zhi 	加日誌	c=1 d=1 t=6630
jia ru 	假如	c=1 d=1 t=3303
jia shang 	加上	c=3 d=1 t=26914
jia shang le 	加上了	c=1 d=1 t=15826
jia she 	假設	c=1 d=1 t=30903
jia wei 	佳偉	c=5 d=1.75326 t=28558
jia yi 	加一	c=0 d=0.1 t=11938
jia yi dui 	加一堆	c=1 d=1 t=11939
jia yi ge 	加一個	c=4 d=1 t=31415
jia yi xia 	加一下	c=4 d=2.94099 t=15221
jia yi xiang 	加一項	c=1 d=1 t=30425
jia you 	加油	c=3 d=1 t=30070
jia zai 	加載	c=8 d=1.16212 t=12393
jia zhi 	價值	c=14 d=1 t=27762
jian 	建	c=26 d=1.00414 t=31445
jian 	撿	c=0 d=0.1 t=16179
jian 	減	c=1 d=1 t=18854
jian 	煎	c=1 d=1 t=17151
jian bang 	賤棒	c=1 d=1 t=7767
jian biao 	建表	c=1 d=1 t=13234
jian bu liao 	建不了	c=1 d=1 t=10654
jian ce 	檢測	c=1 d=1 t=27189
jian cha 	檢查	c=14 d=1.00049 t=30550
jian cha geng xin 	檢查更新	c=1 d=1 t=13758
jian chi 	堅持	c=1 d=1 t=13956
jian dan 	簡單	c=2 d=1 t=16625
jian du 	監督	c=1 d=1 t=30157
jian ge 	建個	c=3 d=1 t=19638
jian ge 	間隔	c=1 d=1 t=22282
jian guo 	見過	c=1 d=1 t=19688
jian huo 	撿貨	c=1 d=1 t=30075
jian huo shu liang 	撿貨數量	c=1 d=1 t=16180
jian kang 	健康	c=2 d=1 t=29160
jian kang bao 	健康寶	c=1 d=1 t=15056
jian kong 	監控	c=42 d=1.04286 t=29434
jian kong dao 	監控到	c=1 d=1 t=8376
jian kong xiang 	監控項	c=1 d=1 t=1421
jian le 	剪了	c=0 d=0.1 t=31442
jian le ge 	剪了個	c=1 d=1 t=31443
jian li 	簡歷	c=2 d=1 t=25264
jian ning 	建寧	c=1 d=1 t=14869
jian qi lai 	撿起來	c=1 d=1 t=3284
jian qiang 	建強	c=3 d=1 t=8068
jian quan 	鑑權	c=1 d=1 t=4378
jian rong 	兼容	c=7 d=1 t=30916
