# Rime user dictionary
#@/db_name	sougou
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6400
#@/user_id	53f8df16-24bd-4171-bf21-ee7068d0bb6a
a 	啊	c=9 d=0.00278899 t=6400
gen zhe 	跟着	c=1 d=2.71265e-05 t=6400
geng hao 	更好	c=1 d=0.0262523 t=6400
geng kuai 	更快	c=1 d=2.01026e-09 t=6400
geng xin 	更新	c=7 d=0.00165107 t=6400
geng xin yi xia 	更新一下	c=1 d=0.000678925 t=6400
gong chang 	工厂	c=3 d=1.68481e-06 t=6400
gong ju 	共聚	c=1 d=3.85074e-09 t=6400
gong ju 	工具	c=4 d=0.0527562 t=6400
gong shang 	工伤	c=1 d=1.2818e-09 t=6400
gong si 	公司	c=6 d=0.687427 t=6400
gong ying shang 	供应商	c=2 d=1.68905e-09 t=6400
gong zi 	公子	c=1 d=1.56533e-07 t=6400
gong zi 	工资	c=1 d=1.57317e-07 t=6400
gong zuo 	工作	c=1 d=5.43628e-07 t=6400
gong zuo liang 	工作量	c=2 d=0.821471 t=6400
gou 	狗	c=3 d=1.38396 t=6400
gou gou 	狗狗	c=1 d=0.00032882 t=6400
gou jian 	构建	c=4 d=0.000659051 t=6400
gou tong 	沟通	c=1 d=0.000285862 t=6400
gu ge 	谷歌	c=1 d=0.000357992 t=6400
gu hua 	固化	c=1 d=1.71688e-06 t=6400
gu zhang 	故障	c=3 d=3.28083e-07 t=6400
gua 	挂	c=3 d=4.3657e-06 t=6400
gua le 	挂了	c=2 d=0.000139187 t=6400
guan 	关	c=1 d=7.91379e-13 t=6400
guan diao 	关掉	c=3 d=1.11113e-13 t=6400
guan le 	关了	c=1 d=6.43139e-14 t=6400
guan li 	管理	c=9 d=0.561594 t=6400
guan lian 	关联	c=1 d=3.84435e-07 t=6400
guan lian ba 	关联吧	c=1 d=3.44904e-07 t=6400
guan wang 	官网	c=1 d=2.12906e-08 t=6400
guan xi 	关系	c=4 d=0.000617495 t=6400
guang 	广	c=1 d=3.12135e-09 t=6400
gui fan 	规范	c=5 d=0.0110537 t=6400
gui ge 	规格	c=2 d=1.03982e-10 t=6400
gui ze 	规则	c=2 d=0.0190399 t=6400
guo 	过	c=8 d=0.0650115 t=6400
guo cheng 	过程	c=5 d=0.946485 t=6400
guo cheng li 	过程里	c=1 d=7.98788e-05 t=6400
guo cheng zhong 	过程中	c=1 d=0.00640933 t=6400
guo ji 	国际	c=0 d=0.000687406 t=6400
guo ji ji chang 	国际机场	c=1 d=0.00690852 t=6400
guo lai 	过来	c=1 d=0.778801 t=6400
guo lv 	过滤	c=4 d=6.30265e-10 t=6400
guo nei 	国内	c=1 d=1.4936e-14 t=6400
guo qu 	过去	c=1 d=9.33029e-09 t=6400
guo wai 	国外	c=2 d=1.21127e-12 t=6400
ha ha 	哈哈	c=2 d=0.0001441 t=6400
ha ha ha 	哈哈哈	c=3 d=0.0983466 t=6400
hai 	害	c=3 d=0.0100736 t=6400
hai 	还	c=9 d=0.24017 t=6400
hai de 	还的	c=2 d=8.75111e-12 t=6400
hai duo le 	还多了	c=1 d=3.50295e-13 t=6400
hai hao 	还好	c=1 d=2.47917e-05 t=6400
hai ji bu ji de 	还记不记得	c=1 d=1.21908e-07 t=6400
hai lai ma 	还来吗	c=1 d=0.00190171 t=6400
hai mei 	还没	c=11 d=0.101686 t=6400
hai shi 	还是	c=21 d=0.0593285 t=6400
hai shuo 	还说	c=1 d=0.00160441 t=6400
hai xu yao 	还需要	c=1 d=0.0275983 t=6400
hai yao 	还要	c=3 d=0.0107265 t=6400
hai you 	还有	c=5 d=1.27199 t=6400
hai you ge 	还有个	c=1 d=2.29605e-14 t=6400
hai you yi ge 	还有一个	c=1 d=0.000347412 t=6400
hai yuan 	还原	c=1 d=8.48182e-05 t=6400
hai zai 	还在	c=1 d=1.53459e-09 t=6400
han shu 	函数	c=1 d=6.11669e-12 t=6400
han zi 	汉字	c=3 d=0.0271625 t=6400
hang shu 	行数	c=1 d=7.52783e-13 t=6400
hang zhou 	杭州	c=1 d=7.10295e-06 t=6400
hao 	号	c=10 d=0.309446 t=6400
hao 	好	c=20 d=0.449422 t=6400
hao 	浩	c=2 d=7.4959e-08 t=6400
hao de 	好的	c=6 d=0.292331 t=6400
hao duo 	好多	c=0 d=2.18221e-05 t=6400
hao duo ku 	好多库	c=1 d=0.000219315 t=6400
hao gai 	好改	c=1 d=1.11396e-05 t=6400
hao ge 	浩哥	c=6 d=1.87475e-07 t=6400
hao le 	好了	c=12 d=0.168078 t=6400
hao wan de 	好玩的	c=1 d=1.16282e-10 t=6400
hao xiang 	好像	c=12 d=2.55998e-05 t=6400
hao yong 	好用	c=1 d=3.53695e-09 t=6400
hao you 	好友	c=1 d=1.62893e-05 t=6400
he 	合	c=4 d=0.358962 t=6400
he 	和	c=32 d=0.99005 t=6400
he 	河	c=0 d=3.57128e-06 t=6400
he ban 	合板	c=1 d=2.575e-10 t=6400
he bing 	合并	c=57 d=4.15143e-05 t=6400
he gui 	合规	c=1 d=3.81113e-05 t=6400
he ji 	合计	c=1 d=6.28456e-07 t=6400
he li 	合理	c=3 d=5.91964e-05 t=6400
he shang 	盒上	c=1 d=1.4093e-07 t=6400
he wo men 	和我们	c=1 d=1.3445e-12 t=6400
he xin 	核心	c=2 d=0.668091 t=6400
hen 	很	c=3 d=0.000444827 t=6400
hen duo 	很多	c=1 d=9.44684e-08 t=6400
hen nan 	很难	c=1 d=0.000284437 t=6400
hen qi guai 	很奇怪	c=1 d=1.35474e-13 t=6400
hen zhong yao 	很重要	c=1 d=5.00537e-06 t=6400
heng xiang 	横向	c=2 d=3.58496e-12 t=6400
hong bao 	红包	c=2 d=0.00144842 t=6400
hong bao ne 	红包呢	c=1 d=7.67598e-07 t=6400
hou duan 	后端	c=1 d=0.00535353 t=6400
hou mian 	后面	c=1 d=2.51057e-06 t=6400
hou yi hang 	后一行	c=1 d=7.64159e-13 t=6400
hu lue 	忽略	c=4 d=4.29844e-08 t=6400
hua 	化	c=2 d=1.00247 t=6400
hua 	花	c=0 d=0.00049667 t=6400
hua 	话	c=7 d=0.000452398 t=6400
hua shi jian 	花时间	c=1 d=0.00499159 t=6400
huan 	换	c=3 d=0.00038208 t=6400
huan cun 	缓存	c=3 d=3.11425e-07 t=6400
huan hang 	换行	c=2 d=1.43576e-12 t=6400
huan jing 	环境	c=27 d=0.280059 t=6400
huan yi tai 	换以太	c=1 d=1.6881e-13 t=6400
huang gua 	黄瓜	c=1 d=1.93611e-08 t=6400
hui 	会	c=16 d=2.18541 t=6400
hui 	回	c=1 d=9.68764e-10 t=6400
hui bu hui 	会不会	c=2 d=0.0773047 t=6400
hui chu lai 	会出来	c=1 d=2.62792e-14 t=6400
hui fu 	恢复	c=1 d=5.0959e-11 t=6400
hui jia 	回家	c=1 d=0.150318 t=6400
hui jia le ma 	回家了吗	c=2 d=0.00542444 t=6400
hui lai 	回来	c=2 d=1.47994e-10 t=6400
hui lai le 	回来了	c=1 d=7.28648e-12 t=6400
hui shou 	回收	c=3 d=7.01523e-05 t=6400
hui ta 	回他	c=1 d=7.28276e-06 t=6400
hui yi 	会议	c=2 d=9.12561e-09 t=6400
huo 	或	c=3 d=0.0260235 t=6400
huo qu 	获取	c=3 d=6.09068e-11 t=6400
huo zhe 	或者	c=4 d=0.00726273 t=6400
ji 	及	c=2 d=0.000423566 t=6400
ji 	记	c=4 d=1.95002e-05 t=6400
ji ben 	基本	c=1 d=0.000217133 t=6400
ji chang 	机场	c=0 d=0.000687406 t=6400
ji cheng 	继承	c=1 d=5.86268e-13 t=6400
ji chu 	基础	c=1 d=6.17606e-08 t=6400
ji de 	记得	c=1 d=1.20134e-11 t=6400
ji dian 	几点	c=2 d=0.00271219 t=6400
ji dian lai 	几点来	c=1 d=0.00194986 t=6400
ji du 	季度	c=1 d=1.51149e-07 t=6400
ji ge 	几个	c=8 d=0.00654985 t=6400
ji hua 	计划	c=15 d=0.0674658 t=6400
ji hua dan 	计划单	c=5 d=4.29534e-06 t=6400
ji hua dan hao 	计划单号	c=5 d=0.119514 t=6400
ji jian 	基建	c=1 d=3.73694e-09 t=6400
ji lu 	记录	c=3 d=3.26661e-05 t=6400
ji qi 	机器	c=2 d=0.0531307 t=6400
ji shu 	技术	c=12 d=0.623383 t=6400
ji shu 	计数	c=11 d=0.00828184 t=6400
ji shu dian 	技术点	c=1 d=0.0232837 t=6400
ji shu fen xiang 	技术分享	c=1 d=0.025223 t=6400
ji shu guan li 	技术管理	c=3 d=8.874e-07 t=6400
ji xing 	机型	c=2 d=0.000416229 t=6400
ji xu 	继续	c=1 d=1.31403e-07 t=6400
ji yao 	纪要	c=1 d=1.06e-09 t=6400
ji yu 	基于	c=1 d=1.01878e-13 t=6400
ji zhong 	几种	c=3 d=0.0219794 t=6400
ji zhu 	记住	c=1 d=3.71059e-14 t=6400
jia 	加	c=6 d=0.000527419 t=6400
jia de 	假得	c=1 d=0.0871609 t=6400
jia dian 	加点	c=1 d=8.81268e-14 t=6400
jia ge 	加个	c=3 d=4.26777e-06 t=6400
jia gong bei zhu 	加工备注	c=1 d=1.00051e-06 t=6400
jia gou 	架构	c=6 d=0.00130995 t=6400
jia jia 	加加	c=0 d=9.37546e-08 t=6400
jia jia jia 	加加加	c=1 d=9.42245e-07 t=6400
jia le 	加了	c=2 d=5.29058e-10 t=6400
jia li 	家里	c=1 d=0.000345679 t=6400
jia meng 	佳梦	c=2 d=0.865022 t=6400
jia qian 	加钱	c=1 d=0.0742736 t=6400
jia shang 	加上	c=1 d=6.69386e-14 t=6400
jia shang le 	加上了	c=2 d=1.14837e-06 t=6400
jia shen 	加深	c=1 d=8.9413e-08 t=6400
jia yi ge 	加一个	c=4 d=2.59865e-05 t=6400
jia yi xia 	加一下	c=1 d=0.0139818 t=6400
jia zhi 	价值	c=2 d=0.166962 t=6400
jian 	建	c=3 d=6.91772e-11 t=6400
jian biao 	建表	c=1 d=3.37299e-11 t=6400
jian cha 	检查	c=10 d=0.367234 t=6400
jian chi 	坚持	c=1 d=2.31834e-10 t=6400
jian chun 	建春	c=1 d=0.000156102 t=6400
jian dan 	简单	c=3 d=1.58232e-07 t=6400
jian huo 	拣货	c=0 d=5.83244e-12 t=6400
jian huo dan 	拣货单	c=17 d=0.203021 t=6400
jian kong 	监控	c=1 d=2.23936e-14 t=6400
jian le 	建了	c=2 d=4.99965e-12 t=6400
jian rong 	兼容	c=7 d=0.0571069 t=6400
jian shao 	减少	c=1 d=0.529935 t=6400
jian she 	建设	c=1 d=1.9119e-07 t=6400
jian yi 	建议	c=1 d=1.09757e-07 t=6400
jiang 	讲	c=1 d=0.0323505 t=6400
jiang de 	讲的	c=1 d=4.22573e-14 t=6400
jiang di 	降低	c=1 d=0.0191587 t=6400
jiang jiang 	讲讲	c=1 d=1.11993e-09 t=6400
jiang jin 	奖金	c=1 d=1.51907e-07 t=6400
jiang le 	讲了	c=1 d=3.44845e-05 t=6400
jiang li 	奖励	c=1 d=0.0992613 t=6400
jiang qing chu 	讲清楚	c=1 d=0.913931 t=6400
jiang shi 	僵尸	c=3 d=6.12214e-09 t=6400
jiao 	叫	c=1 d=2.25565e-11 t=6400
jiao ben 	脚本	c=1 d=3.9489e-11 t=6400
jiao du 	角度	c=1 d=0.0267827 t=6400
jiao gei 	交给	c=1 d=0.18452 t=6400
jiao yan 	教研	c=1 d=0.10435 t=6400
jie ba 	结巴	c=1 d=0.000269215 t=6400
jie dian 	借典	c=1 d=5.29107e-12 t=6400
jie dian 	节点	c=3 d=7.0339e-11 t=6400
jie duan 	阶段	c=1 d=1.19783e-06 t=6400
jie gou 	结构	c=6 d=0.365766 t=6400
jie gou 	解构	c=2 d=1.01107e-10 t=6400
jie guo 	结果	c=3 d=0.299797 t=6400
jie jue 	解决	c=6 d=0.079676 t=6400
jie jue le 	解决了	c=2 d=2.04397e-10 t=6400
jie kou 	接口	c=9 d=0.0330452 t=6400
jie ru 	接入	c=1 d=7.48518e-05 t=6400
jie shu 	结束	c=1 d=9.70776e-05 t=6400
jie wei 	结尾	c=1 d=1.45272e-11 t=6400
jie zou 	节奏	c=1 d=0.155673 t=6400
jin 	斤	c=4 d=7.7354e-08 t=6400
jin cheng 	进程	c=1 d=6.79503e-14 t=6400
jin du 	进度	c=2 d=0.00634556 t=6400
jin e 	金额	c=9 d=6.31619e-07 t=6400
jin kuai 	尽快	c=1 d=2.92492e-09 t=6400
jin lai 	进来	c=1 d=0.000166586 t=6400
jin lai le 	进来了	c=1 d=0.000176887 t=6400
jin liang 	尽量	c=2 d=0.0305043 t=6400
jin qi 	近期	c=1 d=1.29112e-06 t=6400
jin qu 	进去	c=1 d=3.56328e-08 t=6400
jin qu 	金曲	c=1 d=3.54551e-08 t=6400
jin tian 	今天	c=7 d=0.153402 t=6400
jin wan 	今晚	c=1 d=0.00194013 t=6400
jin xing 	进行	c=1 d=5.26289e-08 t=6400
jing jian 	精简	c=0 d=5.52032e-12 t=6400
jing jian ban 	精简版	c=1 d=5.54799e-11 t=6400
jing mo 	静默	c=0 d=1.1806e-13 t=6400
jing mo dian an 	静默点按	c=1 d=1.18652e-12 t=6400
jing tai wen jian 	静态文件	c=1 d=8.78993e-13 t=6400
jing xiang 	镜像	c=4 d=0.00204013 t=6400
jiu 	就	c=30 d=0.55316 t=6400
jiu hao le 	就好了	c=2 d=1.03373e-08 t=6400
jiu huo 	救火	c=2 d=0.339816 t=6400
jiu jie 	纠结	c=1 d=3.86939e-07 t=6400
jiu mei le 	就没了	c=1 d=4.63328e-09 t=6400
jiu neng 	就能	c=1 d=5.11883e-05 t=6400
jiu shi 	就是	c=19 d=1.72853 t=6400
jiu xing 	就行	c=6 d=0.306523 t=6400
jiu xing 	救星	c=1 d=6.46363e-14 t=6400
jiu xing le 	就行了	c=1 d=0.045275 t=6400
jiu zai 	就在	c=1 d=2.31755e-06 t=6400
jiu zhe yang 	就这样	c=1 d=0.00532682 t=6400
ju ti 	具体	c=4 d=9.17605e-05 t=6400
jue ding le 	决定了	c=1 d=0.00193045 t=6400
ka le 	卡勒	c=1 d=0.263158 t=6400
ka si 	卡死	c=1 d=0.0639279 t=6400
kai 	开	c=4 d=0.00857668 t=6400
kai fa 	开发	c=11 d=0.438866 t=6400
kai fang 	开放	c=1 d=1.44498e-07 t=6400
kai feng 	开封	c=1 d=0.000350903 t=6400
kai guan 	开关	c=1 d=7.08461e-05 t=6400
kai hui ne 	开会呢	c=1 d=7.48773e-09 t=6400
kai qi 	开启	c=1 d=1.40227e-07 t=6400
kai shi 	开始	c=6 d=3.96682e-05 t=6400
kai shi le 	开始了	c=1 d=7.5996e-07 t=6400
kai shi le ma 	开始了吗	c=1 d=3.33211e-13 t=6400
kai wan 	开完	c=1 d=0.00479587 t=6400
kai yuan 	开源	c=1 d=2.07219e-13 t=6400
kan 	看	c=15 d=1.07729 t=6400
kan ba 	看吧	c=1 d=1.02601e-08 t=6400
kan cuo le 	看错了	c=1 d=1.30747e-07 t=6400
kan dang qian 	看当前	c=1 d=3.65535e-14 t=6400
kan dao le 	看到了	c=1 d=7.75312e-07 t=6400
kan de 	砍得	c=1 d=3.96734e-07 t=6400
kan kan 	看看	c=15 d=0.319724 t=6400
kan kan kan 	看看看	c=1 d=2.63929e-06 t=6400
kan kan ni 	看看你	c=1 d=1.15404e-09 t=6400
kan lai 	看来	c=3 d=5.54457e-06 t=6400
kan le yi yan 	看了一眼	c=1 d=4.23594e-13 t=6400
kan qi lai 	看起来	c=3 d=1.55765e-11 t=6400
kan xia 	看下	c=15 d=0.0324278 t=6400
kan xia 	砍下	c=1 d=0.895834 t=6400
kan ye mian 	看页面	c=1 d=0.0426384 t=6400
kan yi xia 	看一下	c=4 d=3.69942e-05 t=6400
kang 	抗	c=2 d=0.107331 t=6400
kao cha 	考察	c=1 d=6.46033e-08 t=6400
kao kao ni 	考考你	c=1 d=1.23133e-07 t=6400
kao lv 	考虑	c=1 d=0.0833256 t=6400
kao shi 	考试	c=8 d=0.263754 t=6400
kao wan le 	考完了	c=1 d=0.00249118 t=6400
ke 	可	c=1 d=0.0133665 t=6400
ke 	客	c=2 d=1.43842e-08 t=6400
ke ai 	可爱	c=1 d=0.163654 t=6400
ke hu 	客户	c=7 d=0.000498015 t=6400
ke hu duan 	客户端	c=3 d=5.34832e-13 t=6400
ke ji zhong xin 	科技中心	c=1 d=5.4626e-05 t=6400
ke kong 	可控	c=1 d=2.32355e-07 t=6400
ke neng 	可能	c=10 d=0.370231 t=6400
ke neng shi 	可能是	c=4 d=0.600496 t=6400
ke xuan 	可选	c=1 d=1.20987e-06 t=6400
ke yi 	可以	c=22 d=0.146015 t=6400
ke yi ba 	可以把	c=1 d=6.74139e-09 t=6400
ke yi bu xie 	可以不写	c=1 d=0.302704 t=6400
ke yi shuo 	可以说	c=1 d=8.54786e-08 t=6400
ke yong 	可用	c=1 d=2.05157e-13 t=6400
ken ding 	肯定	c=1 d=0.092089 t=6400
kong 	空	c=3 d=0.140864 t=6400
kong bai ye 	空白页	c=2 d=0.873716 t=6400
kong de 	空的	c=1 d=3.9292e-11 t=6400
kong jian 	控件	c=1 d=0.315058 t=6400
kong jian 	空间	c=2 d=3.23403e-05 t=6400
kong pa 	恐怕	c=1 d=1.55376e-08 t=6400
kong shu zu 	空数组	c=1 d=0.138761 t=6400
kong zhi 	控制	c=2 d=0.323199 t=6400
ku 	库	c=7 d=2.18662e-05 t=6400
ku li 	库里	c=2 d=1.01404e-08 t=6400
kuai 	快	c=1 d=9.21674e-12 t=6400
kuai bei 	快被	c=1 d=1.33457e-13 t=6400
kuai lai 	快来	c=1 d=3.92853e-09 t=6400
kuai le 	快了	c=2 d=0.158817 t=6400
kuai nan 	快男	c=1 d=1.90236e-07 t=6400
kuai su 	快速	c=1 d=2.77556e-10 t=6400
kuan 	宽	c=1 d=0.000395642 t=6400
kuang jia 	框架	c=3 d=0.000248894 t=6400
kuo hao 	括号	c=1 d=0.148823 t=6400
la 	拉	c=2 d=0.00680566 t=6400
la chang 	拉长	c=1 d=8.12959e-06 t=6400
la dai ma 	拉代码	c=1 d=4.3755e-12 t=6400
la qun 	拉群	c=1 d=1.28801e-07 t=6400
la shang 	拉上	c=1 d=8.83098e-09 t=6400
lai 	来	c=7 d=1.25025e-05 t=6400
lai 	赖	c=1 d=0.0655462 t=6400
lai da hui yi shi 	来大会议室	c=1 d=0.0131675 t=6400
lai hui 	来回	c=1 d=0.000193545 t=6400
lai kan 	来看	c=1 d=0.19398 t=6400
lai le 	来了	c=5 d=0.324717 t=6400
lai shuo 	来说	c=1 d=0.0257325 t=6400
lai zuo 	来做	c=2 d=0.368146 t=6400
lan zhu 	拦住	c=1 d=5.50607e-10 t=6400
lao 	老	c=1 d=4.7975e-07 t=6400
lao ban 	老板	c=1 d=2.00507e-08 t=6400
lao shi 	老师	c=1 d=3.63526e-08 t=6400
le 	了	c=81 d=3.7773 t=6400
le ma 	了吗	c=0 d=9.0327e-11 t=6400
lei 	类	c=1 d=5.9216e-13 t=6400
lei xing 	类型	c=21 d=0.0987949 t=6400
li 	李	c=4 d=1.92962e-07 t=6400
li 	里	c=13 d=0.108103 t=6400
li ji sheng ji 	立即升级	c=1 d=0.000323925 t=6400
li jie 	理解	c=5 d=0.0514686 t=6400
li jin 	李进	c=2 d=1.57827e-08 t=6400
li lun 	理论	c=1 d=1.83662e-05 t=6400
li lun shang 	理论上	c=1 d=0.00782838 t=6400
li mian 	立面	c=1 d=4.71709e-14 t=6400
li mian 	里面	c=2 d=0.0031042 t=6400
li min 	李敏	c=1 d=2.41336e-12 t=6400
li pu 	离谱	c=1 d=1.41613e-05 t=6400
li shi 	历史	c=1 d=0.00357068 t=6400
li ta 	利他	c=1 d=0.0153752 t=6400
li tong 	李彤	c=1 d=0.404542 t=6400
li wo 	理我	c=1 d=2.1992e-07 t=6400
li xiang 	立项	c=3 d=1.20715 t=6400
liang 	量	c=2 d=0.000100535 t=6400
liang bo 	两拨	c=1 d=2.83944e-13 t=6400
liang bu fen 	两部分	c=1 d=2.03995e-05 t=6400
liang ge 	两个	c=10 d=0.878415 t=6400
liang ge 	良哥	c=1 d=3.6365e-12 t=6400
liang hua 	量化	c=2 d=0.00431869 t=6400
liang lie 	两列	c=1 d=8.07365e-13 t=6400
liang tai 	两台	c=1 d=0.474734 t=6400
liang tiao 	两条	c=1 d=5.19796e-09 t=6400
liang zhou 	两周	c=1 d=0.00577048 t=6400
liao 	聊	c=6 d=0.0614168 t=6400
liao liao 	聊聊	c=1 d=1.80086e-09 t=6400
liao yi xia 	聊一下	c=1 d=1.5383e-08 t=6400
lie 	列	c=2 d=1.88134e-12 t=6400
lie biao 	列表	c=2 d=0.00112943 t=6400
lin shi 	临时	c=1 d=6.9323e-14 t=6400
ling 	领	c=1 d=0.000898306 t=6400
ling chen 	凌晨	c=1 d=4.66777e-08 t=6400
ling huo 	灵活	c=2 d=0.036724 t=6400
ling huo 	零活	c=1 d=0.018043 t=6400
ling yi ge 	另一个	c=5 d=0.105399 t=6400
ling yu 	领域	c=1 d=5.46539e-11 t=6400
liu 	刘	c=3 d=7.77303e-05 t=6400
liu cheng 	流程	c=5 d=1.35455 t=6400
liu ge 	留个	c=1 d=0.000982903 t=6400
liu lan qi 	浏览器	c=3 d=9.28059e-05 t=6400
liu liang 	流量	c=1 d=4.18154e-08 t=6400
liu nian 	留念	c=1 d=3.51142e-12 t=6400
liu shui xian 	流水线	c=4 d=0.718864 t=6400
liu wei 	刘威	c=4 d=1.5527e-10 t=6400
lu 	录	c=3 d=0.0061056 t=6400
lu jing 	路径	c=2 d=1.98478e-06 t=6400
lu xian 	路线	c=1 d=0.000854495 t=6400
luan 	乱	c=1 d=1.23175e-11 t=6400
luan le 	乱了	c=1 d=0.157237 t=6400
lun 	论	c=1 d=0.204948 t=6400
lun yi 	轮椅	c=3 d=6.07161e-09 t=6400
luo 	罗	c=1 d=3.61713e-08 t=6400
luo ji 	逻辑	c=2 d=0.371577 t=6400
lv 	率	c=1 d=0.444858 t=6400
ma 	吗	c=37 d=0.866564 t=6400
ma 	妈	c=1 d=2.35338e-10 t=6400
ma 	码	c=1 d=3.66419e-13 t=6400
ma de 	妈的	c=1 d=3.02077e-06 t=6400
ma fan 	麻烦	c=2 d=0.176481 t=6400
ma liang 	马良	c=10 d=4.08459e-10 t=6400
ma shang 	马上	c=1 d=1.58079e-05 t=6400
mai 	买	c=3 d=0.473217 t=6400
mai de 	买的	c=1 d=1.55403e-10 t=6400
mai mai mai 	买买买	c=1 d=0.000415927 t=6400
man le 	慢了	c=1 d=9.39973e-08 t=6400
man le 	满了	c=2 d=9.38345e-14 t=6400
mei 	没	c=19 d=1.0535 t=6400
mei cai 	美菜	c=1 d=5.80434e-13 t=6400
mei ce 	没测	c=1 d=0.364219 t=6400
mei cha 	没查	c=1 d=0.00017252 t=6400
mei ci 	每次	c=3 d=5.36086e-09 t=6400
mei ding ne 	没定呢	c=1 d=6.5727e-05 t=6400
mei diu 	没丢	c=2 d=4.88846e-13 t=6400
mei duo shao 	没多少	c=1 d=0.000130387 t=6400
mei fa 	没发	c=1 d=5.80335e-11 t=6400
mei gai 	没改	c=1 d=0.000668817 t=6400
mei ge 	每个	c=3 d=0.356517 t=6400
mei ge 	每格	c=1 d=0.923116 t=6400
mei guan xi 	没关系	c=1 d=7.19291e-07 t=6400
mei hao 	美好	c=1 d=0.00012341 t=6400
mei jiang 	没讲	c=1 d=2.54193e-05 t=6400
mei kan guo 	没看过	c=1 d=1.82746e-05 t=6400
mei lai 	没来	c=1 d=0.00158052 t=6400
mei pei 	没配	c=1 d=4.34318e-13 t=6400
mei qiang dao 	没抢到	c=1 d=0.00120052 t=6400
mei ren 	没人	c=1 d=9.63932e-10 t=6400
mei sha 	没啥	c=5 d=6.20293e-07 t=6400
mei shen me 	没什么	c=1 d=2.95481e-11 t=6400
mei shi 	没事	c=4 d=0.0973473 t=6400
mei shi le 	没事了	c=1 d=2.10315e-11 t=6400
mei tian 	每天	c=1 d=1.06513e-07 t=6400
mei ting 	没听	c=0 d=4.95556e-07 t=6400
mei wen ti 	没问题	c=9 d=0.350895 t=6400
mei xiang dao 	没想到	c=1 d=0.00123091 t=6400
mei xu qiu 	没需求	c=1 d=0.000880518 t=6400
mei ye 	每页	c=1 d=7.34196e-13 t=6400
mei yi ge 	每一个	c=1 d=0.110251 t=6400
mei yong 	没用	c=1 d=9.33188e-11 t=6400
mei you 	没有	c=32 d=0.876943 t=6400
mei you de 	没有的	c=1 d=0.00179994 t=6400
mei zhao dao 	没找到	c=1 d=1.90761e-10 t=6400
mei zhou 	每周	c=3 d=0.0123781 t=6400
mei zi 	妹子	c=1 d=5.5739e-07 t=6400
men 	们	c=1 d=5.74463e-09 t=6400
meng ge 	梦哥	c=1 d=1.66212e-07 t=6400
meng meng 	梦梦	c=1 d=8.10998e-07 t=6400
mi ma 	密码	c=5 d=0.0012882 t=6400
mian fu 	棉服	c=1 d=0.00302755 t=6400
mian qian duan 	面前端	c=1 d=0.000266536 t=6400
mian shi 	面世	c=1 d=0.000244817 t=6400
mian shi 	面试	c=1 d=0.000251014 t=6400
mian shui dian 	免税店	c=1 d=0.000426457 t=6400
miao 	秒	c=3 d=0.0114473 t=6400
miao biao 	秒表	c=1 d=1.99609e-14 t=6400
min jie 	敏捷	c=2 d=0.983754 t=6400
ming 	名	c=5 d=2.18763e-11 t=6400
ming bai 	明白	c=1 d=7.56427e-11 t=6400
ming cheng 	名称	c=4 d=1.01395e-11 t=6400
ming ci 	名词	c=1 d=3.80258e-08 t=6400
ming ling hang 	命令行	c=2 d=9.42085e-05 t=6400
ming que 	明确	c=5 d=0.000142052 t=6400
ming que de 	明确的	c=1 d=0.0208584 t=6400
ming tian 	明天	c=5 d=1.05974 t=6400
ming xian 	明显	c=1 d=0.0228227 t=6400
ming zi 	名子	c=1 d=7.69585e-08 t=6400
ming zi 	名字	c=1 d=7.73442e-08 t=6400
mo ban 	模版	c=54 d=1.55002 t=6400
mo kuai 	模块	c=1 d=0.657047 t=6400
mo ni qi 	模拟器	c=5 d=0.00101667 t=6400
mo ren 	磨人	c=1 d=4.28667e-06 t=6400
mo ren 	默认	c=2 d=0.000241889 t=6400
mo shi 	模式	c=4 d=2.54599e-11 t=6400
mou ge 	某个	c=1 d=6.76114e-14 t=6400
mu 	目	c=1 d=9.68434e-06 t=6400
mu biao 	目标	c=4 d=0.0148387 t=6400
mu lu 	目录	c=2 d=2.70236e-10 t=6400
mu qian 	目前	c=1 d=1.58515e-08 t=6400
na 	哪	c=1 d=0.00115923 t=6400
na 	那	c=11 d=0.962125 t=6400
na bian 	那边	c=4 d=2.05083e-07 t=6400
na chu lai 	拿出来	c=1 d=0.000934966 t=6400
na ci 	哪次	c=1 d=0.000452827 t=6400
na de kan 	那得看	c=1 d=2.23206e-05 t=6400
na ge 	哪个	c=11 d=0.882497 t=6400
na ge 	那个	c=22 d=0.0109377 t=6400
na ge ren 	那个人	c=1 d=4.87001e-07 t=6400
na hui er 	那会儿	c=1 d=4.60062e-14 t=6400
na ji ge 	那几个	c=2 d=0.000945817 t=6400
na jiu 	那就	c=2 d=0.084163 t=6400
na jiu shi 	那就是	c=3 d=0.000393807 t=6400
na li 	那里	c=1 d=2.96196e-10 t=6400
na liang ge 	那两个	c=1 d=7.52526e-09 t=6400
na me 	那么	c=1 d=5.6047e-13 t=6400
na mei 	那美	c=1 d=7.79199e-07 t=6400
na mei shi 	那没事	c=1 d=7.47221e-14 t=6400
na na 	娜娜	c=1 d=0.00137404 t=6400
na ni 	那你	c=1 d=3.19982e-07 t=6400
na qu 	拿去	c=1 d=3.28194e-11 t=6400
na shi 	那是	c=2 d=0.00013845 t=6400
